School,City,State,County,Latitude,Longitude
Velvatex College of Beauty Culture,Little Rock,AR,Pulaski ,34.735685,-92.289597
University of Arkansas-Fort Smith,Fort Smith,AR,Sebastian ,35.384184,-94.373729
Academy of Art University,San Francisco,CA,San Francisco ,37.787943,-122.400578
Academy of Chinese Culture and Health Sciences,Oakland,CA,Alameda ,37.805972,-122.269839
The Academy of Radio and TV Broadcasting,Huntington Beach,CA,Orange ,33.729535,-117.987762
Avalon School of Cosmetology-Alameda,Alameda,CA,Alameda ,37.764203,-122.243566
College of Alameda,Alameda,CA,Alameda ,37.781017,-122.279303
Allan Hancock College,Santa Maria,CA,Santa Barbara ,34.943716,-120.421144
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,Los Angeles ,34.095378,-118.343701
American Baptist Seminary of the West,Berkeley,CA,Alameda ,37.865252,-122.256149
American Film Institute Conservatory,Los Angeles,CA,Los Angeles ,34.10767,-118.310018
American Beauty College,West Covina,CA,Los Angeles ,34.069367,-117.936959
American Career College-Los Angeles,Los Angeles,CA,Los Angeles ,34.079323,-118.292481
American Conservatory Theater,San Francisco,CA,San Francisco ,37.787343,-122.40475
American River College,Sacramento,CA,Sacramento ,38.65085,-121.349672
Antelope Valley College,Lancaster,CA,Los Angeles ,34.676207,-118.186166
Art Center College of Design,Pasadena,CA,Los Angeles ,34.169031,-118.185102
Associated Technical College-Los Angeles,Los Angeles,CA,Los Angeles ,34.056102,-118.272364
Associated Technical College-San Diego,San Diego,CA,San Diego ,32.715375,-117.157988
Azusa Pacific University,Azusa,CA,Los Angeles ,34.130047,-117.888375
Bakersfield College,Bakersfield,CA,Kern ,35.40911,-118.973753
Barstow Community College,Barstow,CA,San Bernardino ,34.870285,-117.023412
Bellus Academy-Chula Vista,Chula Vista,CA,San Diego ,32.614773,-117.083738
Bethesda University,Anaheim,CA,Orange ,33.842295,-117.941323
Biola University,La Mirada,CA,Los Angeles ,33.906203,-118.014374
Brownson Technical School,Anaheim,CA,Orange ,33.819032,-117.905774
Bryan University,Tempe,AZ,Maricopa ,33.437779,-111.944197
Butte College,Oroville,CA,Butte ,39.649782,-121.644831
California Institute of Integral Studies,San Francisco,CA,San Francisco ,37.774924,-122.416102
Cabrillo College,Aptos,CA,Santa Cruz ,36.989448,-121.924797
California Baptist University,Riverside,CA,Riverside ,33.929321,-117.425619
California College of the Arts,San Francisco,CA,San Francisco ,37.767485,-122.399451
University of California-Hastings College of Law,San Francisco,CA,San Francisco ,37.781137,-122.4157
California Institute of Technology,Pasadena,CA,Los Angeles ,34.137349,-118.125878
California Lutheran University,Thousand Oaks,CA,Ventura ,34.224566,-118.878924
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,San Luis Obispo ,35.299513,-120.657311
Alliant International University-San Diego,San Diego,CA,San Diego ,32.897056,-117.094398
Alliant International University-Fresno,Fresno,CA,Fresno ,36.766789,-119.721681
Alliant International University-Los Angeles,Alhambra,CA,Los Angeles ,34.081723,-118.150013
Alliant International University-San Francisco,Emeryville,CA,Alameda ,37.847164,-122.2932
Alliant International University-Irvine,Irvine,CA,Orange ,33.719624,-117.798177
Alliant International University-Sacramento,Sacramento,CA,Sacramento ,38.613615,-121.509313
SAN FRANCISCO LAW SCHOOL,Emeryville,CA,Alameda ,37.847164,-122.2932
California State University-Bakersfield,Bakersfield,CA,Kern ,35.350005,-119.104711
California State University-Stanislaus,Turlock,CA,Stanislaus ,37.52577,-120.852511
California State University-Chancellors Office,Long Beach,CA,Los Angeles ,33.764338,-118.201255
California State University-San Bernardino,San Bernardino,CA,San Bernardino ,34.182622,-117.323801
California State Polytechnic University-Pomona,Pomona,CA,Los Angeles ,34.057912,-117.821476
California State University-Chico,Chico,CA,Butte ,39.729712,-121.844859
California State University-Dominguez Hills,Carson,CA,Los Angeles ,33.864766,-118.255917
California State University-Fresno,Fresno,CA,Fresno ,36.811154,-119.744569
California State University-Fullerton,Fullerton,CA,Orange ,33.881506,-117.885446
California State University-East Bay,Hayward,CA,Alameda ,37.657694,-122.054135
California State University-Long Beach,Long Beach,CA,Los Angeles ,33.782818,-118.11204
California State University-Los Angeles,Los Angeles,CA,Los Angeles ,34.066927,-118.168965
California State University-Northridge,Northridge,CA,Los Angeles ,34.240126,-118.529319
California State University-Sacramento,Sacramento,CA,Sacramento ,38.559415,-121.423549
University of California-Berkeley,Berkeley,CA,Alameda ,37.871918,-122.260463
University of California-Davis,Davis,CA,Yolo ,38.539667,-121.749567
University of California-Irvine,Irvine,CA,Orange ,33.648434,-117.841248
University of California-Los Angeles,Los Angeles,CA,Los Angeles ,34.068892,-118.443901
University of California-Riverside,Riverside,CA,Riverside ,33.97246,-117.32741
University of California-San Diego,La Jolla,CA,San Diego ,32.877749,-117.235866
University of California-San Francisco,San Francisco,CA,San Francisco ,37.763737,-122.458489
University of California-Santa Barbara,Santa Barbara,CA,Santa Barbara ,34.416297,-119.846426
University of California-Santa Cruz,Santa Cruz,CA,Santa Cruz ,36.995584,-122.058801
Sofia University,Palo Alto,CA,Santa Clara ,37.430325,-122.10866
California Beauty School,Modesto,CA,Stanislaus ,37.645217,-120.99689
California Christian College,Fresno,CA,Fresno ,36.749366,-119.711123
California Graduate School of Theology,Garden Grove,CA,Orange ,33.774619,-117.936119
California Hair Design Academy,La Mesa,CA,San Diego ,32.765221,-117.024261
California Institute of the Arts,Valencia,CA,Los Angeles ,34.39327,-118.566837
California State University Maritime Academy,Vallejo,CA,Solano ,38.069061,-122.231551
California Western School of Law,San Diego,CA,San Diego ,32.722192,-117.162416
Canada College,Redwood City,CA,San Mateo ,37.44877,-122.265398
College of the Canyons,Santa Clarita,CA,Los Angeles ,34.403993,-118.568698
Career Academy of Beauty,Garden Grove,CA,Orange ,33.781018,-118.031697
Casa Loma College-Van Nuys,Van Nuys,CA,Los Angeles ,34.192829,-118.457781
CET-San Diego,San Diego,CA,San Diego ,32.711302,-117.105328
CET-San Jose,San Jose,CA,Santa Clara ,37.322723,-121.88698
CET-El Centro,El Centro,CA,Imperial ,32.790908,-115.549079
CET-Colton,Colton,CA,San Bernardino ,34.077381,-117.353488
CET-Watsonville,Watsonville,CA,Santa Cruz ,36.931833,-121.767991
CET-Salinas,Salinas,CA,Monterey ,36.707333,-121.65236
Cerritos College,Norwalk,CA,Los Angeles ,33.886874,-118.097337
Cerro Coso Community College,Ridgecrest,CA,Kern ,35.567525,-117.66767
Chabot College,Hayward,CA,Alameda ,37.642458,-122.105636
Chaffey College,Rancho Cucamonga,CA,San Bernardino ,34.147663,-117.573932
Chapman University,Orange,CA,Orange ,33.79302,-117.852518
Charles R Drew University of Medicine and Science,Los Angeles,CA,Los Angeles ,33.925658,-118.242791
