School,City,State,County,Latitude,Longitude
Sisseton Wahpeton College,Sisseton,SD,Roberts ,45.562731,-97.060835
Southeast Technical Institute,Sioux Falls,SD,Minnehaha ,43.570446,-96.780241
Stewart School,Sioux Falls,SD,Minnehaha ,43.554991,-96.746329
University of South Dakota,Vermillion,SD,Clay ,42.786019,-96.925283
Western Dakota Technical Institute,Rapid City,SD,Pennington ,44.076648,-103.179501
American Baptist College,Nashville,TN,Davidson ,36.202623,-86.789912
Arnolds Beauty School,Milan,TN,Gibson ,35.919195,-88.760125
Tennessee College of Applied Technology-Athens,Athens,TN,McMinn ,35.442944,-84.630484
Austin Peay State University,Clarksville,TN,Montgomery ,36.533319,-87.354081
Baptist Memorial College of Health Sciences,Memphis,TN,Shelby ,35.138415,-90.027501
Belmont University,Nashville,TN,Davidson ,36.135589,-86.794807
Bethel University,McKenzie,TN,Carroll ,36.137848,-88.516762
Bryan College-Dayton,Dayton,TN,Rhea ,35.497209,-84.999552
Carson-Newman University,Jefferson City,TN,Jefferson ,36.122934,-83.491709
Chattanooga State Community College,Chattanooga,TN,Hamilton ,35.100202,-85.237389
Christian Brothers University,Memphis,TN,Shelby ,35.127437,-89.983241
Pentecostal Theological Seminary,Cleveland,TN,Bradley ,35.162528,-84.868326
Austin's Beauty College Inc,Clarksville,TN,Montgomery ,36.521386,-87.362846
Cleveland State Community College,Cleveland,TN,Bradley ,35.200103,-84.879284
Columbia State Community College,Columbia,TN,Maury ,35.616757,-87.101917
Concorde Career College-Memphis,Memphis,TN,Shelby ,35.112892,-89.891723
Tennessee College of Applied Technology-Covington,Covington,TN,Tipton ,35.545225,-89.659976
Cumberland University,Lebanon,TN,Wilson ,36.204514,-86.298782
Lipscomb University,Nashville,TN,Davidson ,36.106253,-86.799791
Tennessee College of Applied Technology-Dickson,Dickson,TN,Dickson ,36.050549,-87.366455
Hussian College-Daymar College Nashville,Nashville,TN,Davidson ,36.14608,-86.671921
Dyersburg State Community College,Dyersburg,TN,Dyer ,36.047565,-89.390791
East Tennessee State University,Johnson City,TN,Washington ,36.301643,-82.366954
Chattanooga College Medical Dental and Technical Careers,Chattanooga,TN,Hamilton ,35.13314,-85.238131
Tennessee College of Applied Technology-Elizabethton,Elizabethton,TN,Carter ,36.366033,-82.178198
The Hair Academy LLC,Fayetteville,TN,Lincoln ,35.153554,-86.577055
Fisk University,Nashville,TN,Davidson ,36.167087,-86.804805
Welch College,Gallatin,TN,Sumner ,36.36719,-86.549153
Freed-Hardeman University,Henderson,TN,Chester ,35.440611,-88.637964
Tennessee College of Applied Technology-Harriman,Harriman,TN,Roane ,35.966107,-84.517871
Tennessee College of Applied Technology-Hartsville,Hartsville,TN,Trousdale ,36.387191,-86.14366
Hiwassee College,Madisonville,TN,Monroe ,35.558912,-84.364117
Tennessee College of Applied Technology-Hohenwald,Hohenwald,TN,Lewis ,35.551687,-87.573757
Tennessee College of Applied Technology-Jacksboro,Jacksboro,TN,Campbell ,36.3175,-84.208918
Tennessee College of Applied Technology-Jacksboro -,LaFollette,TN,Campbell ,36.346799,-84.159272
Jackson State Community College,Jackson,TN,Madison ,35.645571,-88.780005
John A Gupton College,Nashville,TN,Davidson ,36.156633,-86.7948
Johnson University,Knoxville,TN,Knox ,35.937193,-83.750273
Paul Mitchell the School-Murfreesboro,Murfreesboro,TN,Rutherford ,35.849141,-86.42068
King University,Bristol,TN,Sullivan ,36.585309,-82.159421
South College,Knoxville,TN,Knox ,35.958283,-83.97362
Lane College,Jackson,TN,Madison ,35.627378,-88.806535
Le Moyne-Owen College,Memphis,TN,Shelby ,35.118641,-90.034101
Lee University,Cleveland,TN,Bradley ,35.166019,-84.871399
Lincoln Memorial University,Harrogate,TN,Claiborne ,36.578508,-83.660198
Tennessee College of Applied Technology-Livingston,Livingston,TN,Overton ,36.39594,-85.317248
Martin Methodist College,Pulaski,TN,Giles ,35.201019,-87.035661
Maryville College,Maryville,TN,Blount ,35.751505,-83.964223
Tennessee College of Applied Technology-McKenzie,McKenzie,TN,Carroll ,36.137048,-88.492615
Genesis Career College-Cookeville,Cookeville,TN,Putnam ,36.176484,-85.485574
Meharry Medical College,Nashville,TN,Davidson ,36.165458,-86.807371
Memphis College of Art,Memphis,TN,Shelby ,35.145929,-89.993761
Tennessee College of Applied Technology-Memphis,Memphis,TN,Shelby ,35.150262,-90.039188
University of Memphis,Memphis,TN,Shelby ,35.118878,-89.938068
Memphis Theological Seminary,Memphis,TN,Shelby ,35.13311,-89.982653
Middle Tennessee State University,Murfreesboro,TN,Rutherford ,35.848005,-86.360618
Middle Tennessee School of Anesthesia Inc,Madison,TN,Davidson ,36.253425,-86.683859
Tennessee College of Applied Technology-Morristown,Morristown,TN,Hamblen ,36.204643,-83.299503
Motlow State Community College,Tullahoma,TN,Moore ,35.365903,-86.299184
Tennessee College of Applied Technology-Murfreesboro,Murfreesboro,TN,Rutherford ,35.845661,-86.41026
Lincoln College of Technology-Nashville,Nashville,TN,Davidson ,36.194393,-86.744005
Nashville College of Medical Careers,Madison,TN,Davidson ,36.29172,-86.706296
Nashville State Community College,Nashville,TN,Davidson ,36.134857,-86.857342
Tennessee College of Applied Technology-Newbern,Newbern,TN,Dyer ,36.120067,-89.257582
Tennessee College of Applied Technology-Paris,Paris,TN,Henry ,36.296408,-88.296432
Tennessee College of Applied Technology-Pulaski,Pulaski,TN,Giles ,35.191308,-87.007818
Rhodes College,Memphis,TN,Shelby ,35.154405,-89.990803
Tennessee College of Applied Technology-Ripley,Ripley,TN,Lauderdale ,35.779827,-89.519264
Roane State Community College,Harriman,TN,Roane ,35.880911,-84.620051
Tennessee College of Applied Technology-Crump,Crump,TN,Hardin ,35.221452,-88.319153
Southwest Tennessee Community College,Memphis,TN,Shelby ,35.138532,-90.036723
Tennessee College of Applied Technology-Shelbyville,Shelbyville,TN,Bedford ,35.485655,-86.421097
The University of the South,Sewanee,TN,Franklin ,35.204719,-85.920179
Tennessee College of Applied Technology-Oneida-Huntsville,Huntsville,TN,Scott ,36.408177,-84.528273
Tennessee College of Applied Technology-Crossville,Crossville,TN,Cumberland ,35.946609,-85.039137
Tennessee College of Applied Technology-McMinnville,McMinnville,TN,Warren ,35.70137,-85.74531
Tennessee College of Applied Technology-Jackson,Jackson,TN,Madison ,35.606795,-88.919805
Tennessee College of Applied Technology-Knoxville,Knoxville,TN,Knox ,35.957,-83.964151
Tennessee College of Applied Technology-Whiteville,Whiteville,TN,Hardeman ,35.319574,-89.159449
Pellissippi State Community College,Knoxville,TN,Knox ,35.948303,-84.166504
Southern Adventist University,Collegedale,TN,Hamilton ,35.048254,-85.052088
Southern College of Optometry,Memphis,TN,Shelby ,35.138252,-90.019856
Tennessee Wesleyan University,Athens,TN,McMinn ,35.446331,-84.592728
The University of Tennessee-Chattanooga,Chattanooga,TN,Hamilton ,35.047519,-85.300247
The University of Tennessee-Knoxville,Knoxville,TN,Knox ,35.952082,-83.925852
The University of Tennessee-Martin,Martin,TN,Weakley ,36.340338,-88.864211
Tennessee School of Beauty of Knoxville Inc,Knoxville,TN,Knox ,35.974432,-83.995119
Tennessee State University,Nashville,TN,Davidson ,36.166321,-86.828275
Tennessee Technological University,Cookeville,TN,Putnam ,36.174754,-85.504039
Trevecca Nazarene University,Nashville,TN,Davidson ,36.141324,-86.754238
Northeast State Community College,Blountville,TN,Sullivan ,36.484961,-82.408885
Tusculum University,Greeneville,TN,Greene ,36.172435,-82.760818
Union University,Jackson,TN,Madison ,35.676896,-88.858524
Vanderbilt University,Nashville,TN,Davidson ,36.14659,-86.803369
Volunteer State Community College,Gallatin,TN,Sumner ,36.362518,-86.497127
Walters State Community College,Morristown,TN,Hamblen ,36.213179,-83.262503
William Moore College of Technology,Memphis,TN,Shelby ,35.144855,-90.020138
Abilene Christian University,Abilene,TX,Taylor ,32.468943,-99.709797
Alamo Community College District Central Office,San Antonio,TX,Bexar ,29.445773,-98.474082
Alvin Community College,Alvin,TX,Brazoria ,29.396244,-95.240671
Amarillo College,Amarillo,TX,Potter ,35.187839,-101.846988
Amberton University,Garland,TX,Dallas ,32.859931,-96.65302
Angelina College,Lufkin,TX,Angelina ,31.287444,-94.731625
Angelo State University,San Angelo,TX,Tom Green ,31.440914,-100.465051
Arlington Baptist University,Arlington,TX,Tarrant ,32.739489,-97.156024
Arlington Career Institute,Grand Prairie,TX,Tarrant ,32.77244,-97.052772
The Art Institute of Houston,Houston,TX,Harris ,29.730258,-95.445598
Austin College,Sherman,TX,Grayson ,33.646345,-96.596331
Austin Community College District,Austin,TX,Travis ,30.322744,-97.712505
Austin Presbyterian Theological Seminary,Austin,TX,Travis ,30.29201,-97.736958
Baldwin Beauty School-South Austin,Austin,TX,Travis ,30.241662,-97.783062
Baptist Health System School of Health Professions,San Antonio,TX,Bexar ,29.517063,-98.567486
Baptist Missionary Association Theological Seminary,Jacksonville,TX,Cherokee ,31.978961,-95.255524
Baylor College of Medicine,Houston,TX,Harris ,29.7106,-95.395743
Baylor University,Waco,TX,McLennan ,31.546872,-97.121041
Coastal Bend College,Beeville,TX,Bee ,28.435194,-97.755896
Blinn College,Brenham,TX,Washington ,30.160457,-96.40852
Remington College-Dallas Campus,Garland,TX,Dallas ,32.860595,-96.654105
Vet Tech Institute of Houston,Houston,TX,Harris ,29.728907,-95.455533
Brazosport College,Lake Jackson,TX,Brazoria ,29.048604,-95.40934
Brookhaven College,Farmers Branch,TX,Dallas ,32.928231,-96.850152
Cedar Valley College,Lancaster,TX,Dallas ,32.62568,-96.763413
Central Texas College,Killeen,TX,Coryell ,31.120516,-97.810827
Charles and Sues School of Hair Design,Bryan,TX,Brazos ,30.6528,-96.340102
Cisco College,Cisco,TX,Eastland ,32.401132,-98.985206
Clarendon College,Clarendon,TX,Donley ,34.944558,-100.902421
Concordia University Texas,Austin,TX,Travis ,30.420232,-97.835703
Conlee's College of Cosmetology,Kerrville,TX,Kerr ,30.055075,-99.15037
North Central Texas College,Gainesville,TX,Cooke ,33.6188,-97.1658
Texas A & M University-Corpus Christi,Corpus Christi,TX,Nueces ,27.713723,-97.32395
Cosmetology Career Center LLC,Carrollton,TX,Dallas ,32.973328,-96.843526
Dallas Baptist University,Dallas,TX,Dallas ,32.710017,-96.947006
Dallas Christian College,Dallas,TX,Dallas ,32.913692,-96.887117
Dallas County Community College District,Dallas,TX,Dallas ,32.766319,-96.794036
Dallas Institute of Funeral Service,Dallas,TX,Dallas ,32.771368,-96.683404
Dallas Theological Seminary,Dallas,TX,Dallas ,32.795361,-96.780497
University of Dallas,Irving,TX,Dallas ,32.846221,-96.919512
Del Mar College,Corpus Christi,TX,Nueces ,27.763619,-97.40762
East Texas Baptist University,Marshall,TX,Harrison ,32.557847,-94.374488
Texas A&M University-Texarkana,Texarkana,TX,Bowie ,33.490482,-94.103617
Texas A & M University-Commerce,Commerce,TX,Hunt ,33.243745,-95.908451
Eastfield College,Mesquite,TX,Dallas ,32.815673,-96.659462
El Centro College,Dallas,TX,Dallas ,32.779811,-96.805353
El Paso Community College,El Paso,TX,El Paso ,31.773359,-106.373616
Western Technical College,El Paso,TX,El Paso ,31.877794,-106.425881
Western Technical College,El Paso,TX,El Paso ,31.675953,-106.319269
Episcopal Theological Seminary of the Southwest,Austin,TX,Travis ,30.293092,-97.732652
Exposito School of Hair Design,Amarillo,TX,Potter ,35.183578,-101.881271
Miami International University of Art & Design-Art Institute Dallas,Dallas,TX,Dallas ,32.871008,-96.767823
Fort Worth Beauty School,Benbrook,TX,Tarrant ,32.82338,-97.420695
Frank Phillips College,Borger,TX,Hutchinson ,35.657778,-101.406005
Galveston College,Galveston,TX,Galveston ,29.284735,-94.807686
Galveston College - Charlie Thomas Family Applied Technology Center,Galveston,TX,Galveston ,29.287365,-94.856683
Grayson College,Denison,TX,Grayson ,33.70574,-96.633891
Hallmark University,San Antonio,TX,Bexar ,29.538442,-98.568618
Hardin-Simmons University,Abilene,TX,Taylor ,32.476434,-99.73564
Trinity Valley Community College,Athens,TX,Henderson ,32.196596,-95.858513
Hill College,Hillsboro,TX,Hill ,32.010928,-97.088332
Houston Baptist University,Houston,TX,Harris ,29.693819,-95.515954
University of Houston-Clear Lake,Houston,TX,Harris ,29.582523,-95.098129
Houston Community College,Houston,TX,Harris ,29.742114,-95.377319
University of Houston-Downtown,Houston,TX,Harris ,29.7661,-95.359338
University of Houston-Victoria,Victoria,TX,Victoria ,28.816248,-96.976334
University of Houston,Houston,TX,Harris ,29.720393,-95.343537
Howard College,Big Spring,TX,Howard ,32.252292,-101.450104
Howard Payne University,Brownwood,TX,Brown ,31.716467,-98.985204
Huston-Tillotson University,Austin,TX,Travis ,30.264667,-97.721691
University of the Incarnate Word,San Antonio,TX,Bexar ,29.46708,-98.46583
International Business College-El Paso,El Paso,TX,El Paso ,31.750208,-106.332288
International Business College-El Paso,El Paso,TX,El Paso ,31.716262,-106.308602
Jacksonville College-Main Campus,Jacksonville,TX,Cherokee ,31.965846,-95.281311
Jarvis Christian College,Hawkins,TX,Wood ,32.587942,-95.181513
KD Conservatory College of Film and Dramatic Arts,Dallas,TX,Dallas ,32.808265,-96.841975
Kilgore College,Kilgore,TX,Gregg ,32.377821,-94.871468
Lamar University,Beaumont,TX,Jefferson ,30.042738,-94.072244
Lamar State College-Orange,Orange,TX,Orange ,30.0922,-93.732235
Lamar State College-Port Arthur,Port Arthur,TX,Jefferson ,29.880385,-93.925886
Laredo Beauty College Inc,Laredo,TX,Webb ,27.523791,-99.480788
Laredo College,Laredo,TX,Webb ,27.506477,-99.520772
Texas A & M International University,Laredo,TX,Webb ,27.571172,-99.436043
Lee College,Baytown,TX,Harris ,29.732505,-94.978184
LeTourneau University,Longview,TX,Gregg ,32.46632,-94.726394
Lincoln College of Technology-Grand Prairie,Grand Prairie,TX,Tarrant ,32.701684,-97.056391
Lubbock Christian University,Lubbock,TX,Lubbock ,33.575973,-101.934426
College of the Mainland,Texas City,TX,Galveston ,29.39581,-94.999602
University of Mary Hardin-Baylor,Belton,TX,Bell ,31.066793,-97.463471
McLennan Community College,Waco,TX,McLennan ,31.58947,-97.171228
McMurry University,Abilene,TX,Taylor ,32.429776,-99.748682
Covenant School of Nursing and Allied Health,Lubbock,TX,Lubbock ,33.5757,-101.937872
Midland College,Midland,TX,Midland ,32.029646,-102.106153
Midwestern State University,Wichita Falls,TX,Wichita ,33.874809,-98.519386
William Edge Institute,New Braunfels,TX,Comal ,29.698282,-98.100952
Wade College,Dallas,TX,Dallas ,32.800854,-96.819516
Southern Careers Institute-Austin,Austin,TX,Travis ,30.226743,-97.784318
Mountain View College,Dallas,TX,Dallas ,32.726735,-96.903565
Tint School of Makeup and Cosmetology-Irving,Irving,TX,Dallas ,32.829511,-96.983082
Navarro College,Corsicana,TX,Navarro ,32.076061,-96.498731
Neilson Beauty College,Dallas,TX,Dallas ,32.742913,-96.829141
Lone Star College System,The Woodlands,TX,Montgomery ,30.18737,-95.488103
North Lake College,Irving,TX,Dallas ,32.871872,-96.967098
University of North Texas,Denton,TX,Denton ,33.211178,-97.148422
Northeast Texas Community College,Mount Pleasant,TX,Titus ,33.104931,-94.881855
Oblate School of Theology,San Antonio,TX,Bexar ,29.505434,-98.503113
Ocean Corporation,Houston,TX,Harris ,29.665467,-95.57034
Odessa College,Odessa,TX,Ector ,31.866812,-102.383477
Ogle School Hair Skin Nails-Arlington,Arlington,TX,Tarrant ,32.720725,-97.140834
Ogle School Hair Skin Nails-Ft Worth,Fort Worth,TX,Tarrant ,32.681742,-97.417657
Our Lady of the Lake University,San Antonio,TX,Bexar ,29.426194,-98.54365
The University of Texas Rio Grande Valley,Edinburg,TX,Hidalgo ,26.306759,-98.173567
Texas Southmost College,Brownsville,TX,Cameron ,25.899628,-97.492241
Panola College,Carthage,TX,Panola ,32.156214,-94.356355
Paris Junior College,Paris,TX,Lamar ,33.650929,-95.529177
Paul Quinn College,Dallas,TX,Dallas ,32.678837,-96.755778
Prairie View A & M University,Prairie View,TX,Waller ,30.092425,-95.989475
Ranger College,Ranger,TX,Eastland ,32.456773,-98.685215
Aviation Institute of Maintenance-Houston,Houston,TX,Harris ,29.65852,-95.28262
Rice University,Houston,TX,Harris ,29.717897,-95.402035
Richland College,Dallas,TX,Dallas ,32.922135,-96.730498
Saint Edward's University,Austin,TX,Travis ,30.229618,-97.754998
St Philip's College,San Antonio,TX,Bexar ,29.41508,-98.453285
University of St Thomas,Houston,TX,Harris ,29.736438,-95.393102
Sam Houston State University,Huntsville,TX,Walker ,30.714738,-95.546205
San Antonio College,San Antonio,TX,Bexar ,29.44634,-98.497647
San Jacinto Community College,Pasadena,TX,Harris ,29.660032,-95.114677
San Jacinto College-North Campus,Houston,TX,Harris ,29.810803,-95.181963
San Jacinto College-South Campus,Houston,TX,Harris ,29.579844,-95.20386
Schreiner University,Kerrville,TX,Kerr ,30.031458,-99.130586
Seguin Beauty School-Seguin,Seguin,TX,Guadalupe ,29.569142,-97.96436
St. Mary's University,San Antonio,TX,Bexar ,29.453244,-98.562778
South Plains College,Levelland,TX,Hockley ,33.575904,-102.365075
South Texas Barber College Inc,Corpus Christi,TX,Nueces ,27.754868,-97.417156
South Texas College of Law Houston,Houston,TX,Harris ,29.753171,-95.36455
South Texas Vocational Technical Institute-Weslaco,Weslaco,TX,Hidalgo ,26.17325,-97.967153
Platt College-STVT-McAllen,McAllen,TX,Hidalgo ,26.233652,-98.241774
Southern Methodist University,Dallas,TX,Dallas ,32.843612,-96.783365
Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,Bexar ,29.357965,-98.49583
Southwest School of Business and Technical Careers-South Texas,McAllen,TX,Hidalgo ,26.240095,-98.238957
Southwest Texas Junior College,Uvalde,TX,Uvalde ,29.219671,-99.741237
Southwestern Assemblies of God University,Waxahachie,TX,Ellis ,32.40443,-96.853492
Southwestern University,Georgetown,TX,Williamson ,30.634341,-97.665738
Stephen F Austin State University,Nacogdoches,TX,Nacogdoches ,31.621056,-94.64908
Texas State University,San Marcos,TX,Hays ,29.888885,-97.943029
Southwestern Adventist University,Keene,TX,Johnson ,32.397617,-97.32702
Southwestern Christian College,Terrell,TX,Kaufman ,32.735508,-96.285649
Sul Ross State University,Alpine,TX,Brewster ,30.363139,-103.651469
Tarleton State University,Stephenville,TX,Erath ,32.214988,-98.214866
Tarrant County College District,Fort Worth,TX,Tarrant ,32.747495,-97.327941
Temple College,Temple,TX,Bell ,31.070715,-97.350471
University of Texas Southwestern Medical Center,Dallas,TX,Dallas ,32.812307,-96.841156
The University of Texas Health Science Center at San Antonio,San Antonio,TX,Bexar ,29.508107,-98.575655
The University of Texas Medical Branch at Galveston,Galveston,TX,Galveston ,29.310758,-94.775956
Texarkana College,Texarkana,TX,Bowie ,33.441868,-94.078
Texas A & M University-Kingsville,Kingsville,TX,Kleberg ,27.525168,-97.882387
Texas A & M University-College Station,College Station,TX,Brazos ,30.618726,-96.336475
Texas A & M University Health Science Center,Bryan,TX,Brazos ,30.598751,-96.395595
Texas A & M University-System Office,College Station,TX,Brazos ,30.636846,-96.327705
The University of Texas at Arlington,Arlington,TX,Tarrant ,32.729718,-97.11296
The University of Texas at Austin,Austin,TX,Travis ,30.282825,-97.738273
The University of Texas at Dallas,Richardson,TX,Dallas ,32.984673,-96.749702
The University of Texas at El Paso,El Paso,TX,El Paso ,31.77015,-106.504098
The University of Texas at Tyler,Tyler,TX,Smith ,32.315772,-95.254337
Texas Chiropractic College Foundation Inc,Pasadena,TX,Harris ,29.663702,-95.150135
Texas Christian University,Fort Worth,TX,Tarrant ,32.70961,-97.364758
Texas College,Tyler,TX,Smith ,32.37456,-95.312454
University of North Texas Health Science Center,Fort Worth,TX,Tarrant ,32.749907,-97.369138
Texas Lutheran University,Seguin,TX,Guadalupe ,29.573261,-97.982669
The University of Texas of the Permian Basin,Odessa,TX,Ector ,31.889509,-102.329634
The University of Texas at San Antonio,San Antonio,TX,Bexar ,29.583709,-98.620657
Texas Southern University,Houston,TX,Harris ,29.721046,-95.361113
The University of Texas System Office,Austin,TX,Travis ,30.269742,-97.744284
Texas Tech University,Lubbock,TX,Lubbock ,33.583448,-101.874783
Texas Wesleyan University,Fort Worth,TX,Tarrant ,32.732962,-97.279613
Texas Woman's University,Denton,TX,Denton ,33.226211,-97.127842
Trinity University,San Antonio,TX,Bexar ,29.462682,-98.48186
The University of Texas Health Science Center at Houston,Houston,TX,Harris ,29.702873,-95.403183
Texas Tech University Health Sciences Center,Lubbock,TX,Lubbock ,33.589284,-101.891915
Tyler Junior College,Tyler,TX,Smith ,32.33601,-95.284122
University of Houston-System Administration,Houston,TX,Harris ,29.720393,-95.343537
Universal Technical Institute of Texas Inc.,Houston,TX,Harris ,29.990487,-95.412113
UCAS University of Cosemtology Arts & Sciences-McAllen,McAllen,TX,Hidalgo ,26.279439,-98.21787
Vernon College,Vernon,TX,Wilbarger ,34.159298,-99.319094
Victoria Beauty College Inc,Victoria,TX,Victoria ,28.807928,-96.990854
Victoria College,Victoria,TX,Victoria ,28.816446,-96.979226
Vogue College of Cosmetology-McAllen,McAllen,TX,Hidalgo ,26.232656,-98.223022
Wayland Baptist University,Plainview,TX,Hale ,34.187677,-101.730042
Weatherford College,Weatherford,TX,Parker ,32.74133,-97.792629
West Texas A & M University,Canyon,TX,Randall ,34.982789,-101.914736
Western Texas College,Snyder,TX,Scurry ,32.678458,-100.914945
Wharton County Junior College,Wharton,TX,Wharton ,29.3238,-96.085815
Wiley College,Marshall,TX,Harrison ,32.537641,-94.376814
AmeriTech College-Provo,Provo,UT,Utah ,40.261512,-111.669276
Bridgerland Technical College,Logan,UT,Cache ,41.756188,-111.850619
Brigham Young University-Provo,Provo,UT,Utah ,40.250851,-111.649281
Brigham Young University-Hawaii,Laie,HI,Honolulu ,21.642074,-157.926586
Broadview University-West Jordan,West Jordan,UT,Salt Lake ,40.609883,-111.942296
Cameo College of Essential Beauty,Murray,UT,Salt Lake ,40.645694,-111.887832
Collectiv Academy,Sandy,UT,Salt Lake ,40.56441,-111.851661
Davis Technical College,Kaysville,UT,Davis ,41.028956,-111.925227
Dixie State University,Saint George,UT,Washington ,37.102769,-113.565903
Evans Hairstyling College-Cedar City,Cedar City,UT,Iron ,37.679851,-113.064394
Evans Hairstyling College-St George,Saint George,UT,Washington ,37.108487,-113.56287
Paul Mitchell the School-Salt Lake City,Holladay,UT,Salt Lake ,40.666643,-111.835077
Eagle Gate College-Murray,Murray,UT,Salt Lake ,40.649984,-111.903609
LDS Business College,Salt Lake City,UT,Salt Lake ,40.77113,-111.9002
Ogden-Weber Technical College,Ogden,UT,Weber ,41.264286,-111.964808
Snow College,Ephraim,UT,Sanpete ,39.360177,-111.58296
Snow College-Richfield Campus,Richfield,UT,Sevier ,38.767007,-112.099377
Southern Utah University,Cedar City,UT,Iron ,37.674617,-113.070146
Stevens-Henager College,West Haven,UT,Weber ,41.232847,-112.011617
Stevens-Henager College,Orem,UT,Utah ,40.269691,-111.713264
Uintah Basin Technical College,Roosevelt,UT,Uintah ,40.299059,-109.97534
Utah State University,Logan,UT,Cache ,41.740748,-111.81391
Utah Valley University,Orem,UT,Utah ,40.281078,-111.716456
Salt Lake Community College,Salt Lake City,UT,Salt Lake ,40.671575,-111.942809
University of Utah,Salt Lake City,UT,Salt Lake ,40.762484,-111.846044
Weber State University,Ogden,UT,Weber ,41.192591,-111.944845
Westminster College,Salt Lake City,UT,Salt Lake ,40.730779,-111.855757
Bennington College,Bennington,VT,Bennington ,42.919547,-73.237799
Castleton University,Castleton,VT,Rutland ,43.608397,-73.180842
Champlain College,Burlington,VT,Chittenden ,44.473287,-73.202746
Community College of Vermont,Montpelier,VT,Washington ,44.280811,-72.573774
Goddard College,Plainfield,VT,Washington ,44.279087,-72.438388
Green Mountain College,Poultney,VT,Rutland ,43.517785,-73.241862
Northern Vermont University,Johnson,VT,Lamoille ,44.641736,-72.671154
Northern Vermont University - Northern Essex Community College,Lawrence,MA,Essex ,42.707,-71.164595
Northern Vermont University - Lyndon,Lyndonvile,VT,Caledonia ,44.534525,-72.024955
Marlboro College,Marlboro,VT,Windham ,42.839603,-72.736552
Middlebury College,Middlebury,VT,Addison ,44.009117,-73.176068
New England Culinary Institute,Montpelier,VT,Washington ,44.261307,-72.575081
Norwich University,Northfield,VT,Washington ,44.140237,-72.659783
O'Briens Aveda Institute,Williston,VT,Chittenden ,44.447199,-73.102721
Saint Michael's College,Colchester,VT,Chittenden ,44.494558,-73.167069
SIT Graduate Institute,Brattleboro,VT,Windham ,42.891035,-72.56738
College of St Joseph,Rutland,VT,Rutland ,43.600507,-73.000848
Southern Vermont College,Bennington,VT,Bennington ,42.867713,-73.218518
Sterling College,Craftsbury Common,VT,Orleans ,44.65225,-72.382372
Vermont Law School,South Royalton,VT,Windsor ,43.821406,-72.520919
Vermont State Colleges-Office of the Chancellor,Montpelier,VT,Washington ,44.25425,-72.572581
Vermont Technical College,Randolph,VT,Orange ,43.939623,-72.604498
University of Vermont,Burlington,VT,Chittenden ,44.477325,-73.196646
Paul Mitchell the School-Roanoke,Roanoke,VA,Roanoke city,37.255284,-79.95759
Advanced Technology Institute,Virginia Beach,VA,Virginia Beach city,36.841381,-76.182268
Averett University,Danville,VA,Danville city,36.577287,-79.413203
Blue Ridge Community College,Weyers Cave,VA,Augusta ,38.279075,-78.937471
Bluefield College,Bluefield,VA,Tazewell ,37.244557,-81.246233
Bluefield College - Edward Via College of Osteopathic Medicine,Blacksburg,VA,Montgomery ,37.199747,-80.406089
Bridgewater College,Bridgewater,VA,Rockingham ,38.378484,-78.969007
William & Mary,Williamsburg,VA,Williamsburg city,37.269489,-76.708214
Regent University,Virginia Beach,VA,Virginia Beach city,36.801173,-76.194627
Central School of Practical Nursing,Norfolk,VA,Norfolk city,36.869309,-76.210274
Central Virginia Community College,Lynchburg,VA,Lynchburg city,37.358809,-79.184238
Christopher Newport University,Newport News,VA,Newport News city,37.062495,-76.494364
Suffolk Beauty Academy,Suffolk,VA,Suffolk city,36.739517,-76.563917
Bryant & Stratton College-Virginia Beach,Virginia Beach,VA,Virginia Beach city,36.827826,-76.13819
Bryant & Stratton College-Richmond,North Chesterfield,VA,Chesterfield ,37.459615,-77.543206
Bryant & Stratton College-Hampton,Hampton,VA,Hampton city,37.044205,-76.392006
Bryant & Stratton College-Richmond,North Chesterfield,VA,Chesterfield ,37.45955,-77.543378
Radford University-Carilion,Roanoke,VA,Roanoke city,37.265985,-79.939574
Dabney S Lancaster Community College,Clifton Forge,VA,Alleghany ,37.812275,-79.852536
Danville Community College,Danville,VA,Danville city,36.565286,-79.408803
Eastern Virginia Medical School,Norfolk,VA,Norfolk city,36.861232,-76.300694
Centura College-Virginia Beach,Virginia Beach,VA,Virginia Beach city,36.837648,-76.064499
Emory & Henry College,Emory,VA,Washington ,36.772857,-81.829142
Eastern Mennonite University,Harrisonburg,VA,Harrisonburg city,38.471134,-78.880326
Eastern Shore Community College,Melfa,VA,Accomack ,37.640453,-75.750791
Ferrum College,Ferrum,VA,Franklin ,36.926912,-80.021639
George Mason University,Fairfax,VA,Fairfax ,38.829976,-77.307428
Germanna Community College,Locust Grove,VA,Orange ,38.375532,-77.78012
Hampden-Sydney College,Hampden-Sydney,VA,Prince Edward ,37.240615,-78.464216
Hampton University,Hampton,VA,Hampton city,37.019944,-76.339161
Hollins University,Roanoke,VA,Roanoke ,37.354201,-79.943277
J Sargeant Reynolds Community College,Richmond,VA,Henrico ,37.636837,-77.473918
James Madison University,Harrisonburg,VA,Harrisonburg city,38.436311,-78.870484
John Tyler Community College,Chester,VA,Chesterfield ,37.346254,-77.407919
Liberty University,Lynchburg,VA,Lynchburg city,37.350232,-79.18222
Longwood University,Farmville,VA,Prince Edward ,37.301137,-78.39575
