FIPS,UI_Index,MI_Index,CI_Index,Total_Vaccinated,Vac_Index
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1027,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1029,1,0,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1031,1,1,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1033,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1035,0,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1037,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1039,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1041,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1043,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1045,1,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1047,0,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1049,1,0,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1051,1,1,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1053,1,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1055,0,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1057,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1059,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1061,1,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1063,0,0,0,2288180,0
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
1065,0,0,0,2288180,0
